false_positive_rate,true_positive_rate,threshold
0.007000840100812098,0.3309748427672956,0.9101009
0.007140856902828339,0.3309748427672956,0.90954983
0.007140856902828339,0.33176100628930816,0.90912914
0.007280873704844581,0.33176100628930816,0.9086965
0.007280873704844581,0.3341194968553459,0.9063324
0.007560907308877065,0.3341194968553459,0.9042812
0.007560907308877065,0.33490566037735847,0.90389466
0.00784094091290955,0.33490566037735847,0.903676
0.00784094091290955,0.3388364779874214,0.8991179
0.00798095771492579,0.3388364779874214,0.89890873
0.00798095771492579,0.34040880503144655,0.8967065
0.008120974516942034,0.34040880503144655,0.8964946
0.008120974516942034,0.34827044025157233,0.8907557
0.00854102492299076,0.34827044025157233,0.88893205
0.00854102492299076,0.3490566037735849,0.88879913
0.008681041725007001,0.3490566037735849,0.88812095
0.008681041725007001,0.35062893081761004,0.8855765
0.008961075329039486,0.35062893081761004,0.88438094
0.008961075329039486,0.3522012578616352,0.8829558
0.009381125735088211,0.3522012578616352,0.8809227
0.009381125735088211,0.35455974842767296,0.880228
0.009801176141136937,0.35455974842767296,0.87947327
0.009801176141136937,0.3584905660377358,0.87531155
0.009941192943153179,0.3584905660377358,0.8740822
0.009941192943153179,0.35927672955974843,0.87392145
0.010221226547185663,0.35927672955974843,0.87210673
0.010221226547185663,0.360062893081761,0.87167925
0.010361243349201904,0.360062893081761,0.87129056
0.010361243349201904,0.36163522012578614,0.8698705
0.010641276953234389,0.36163522012578614,0.86775404
0.010641276953234389,0.3639937106918239,0.86691326
0.01078129375525063,0.3639937106918239,0.8667479
0.01078129375525063,0.3663522012578616,0.8655578
0.011201344161299356,0.3663522012578616,0.86247593
0.011201344161299356,0.3671383647798742,0.86148727
0.01148137776533184,0.3671383647798742,0.8608424
0.01148137776533184,0.36792452830188677,0.8598798
0.011621394567348082,0.36792452830188677,0.8594572
0.011621394567348082,0.3687106918238994,0.85926104
0.011761411369364323,0.3687106918238994,0.85815346
0.011761411369364323,0.37264150943396224,0.8548936
0.012041444973396808,0.37264150943396224,0.8539508
0.012041444973396808,0.3789308176100629,0.84849644
0.012321478577429292,0.3789308176100629,0.84780085
0.012321478577429292,0.37971698113207547,0.84779716
0.012461495379445534,0.37971698113207547,0.8473445
0.012461495379445534,0.3860062893081761,0.84309095
0.012601512181461775,0.3860062893081761,0.8430383
0.012601512181461775,0.38836477987421386,0.8412454
0.01288154578549426,0.38836477987421386,0.8406866
0.01288154578549426,0.3891509433962264,0.8406528
0.013161579389526744,0.3891509433962264,0.8387881
0.013161579389526744,0.39072327044025157,0.8362746
0.013301596191542985,0.39072327044025157,0.8362447
0.013301596191542985,0.3915094339622642,0.835496
0.013441612993559227,0.3915094339622642,0.833435
0.013441612993559227,0.3922955974842767,0.83265626
0.01358162979557547,0.3922955974842767,0.8308111
0.01358162979557547,0.39622641509433965,0.82798225
0.013861663399607952,0.39622641509433965,0.8264094
0.013861663399607952,0.4001572327044025,0.8240015
0.014001680201624195,0.4001572327044025,0.8238449
0.014001680201624195,0.40172955974842767,0.82321954
0.014141697003640437,0.40172955974842767,0.82193935
0.014141697003640437,0.4025157232704403,0.82169056
0.014421730607672921,0.4025157232704403,0.82109725
0.014421730607672921,0.40408805031446543,0.8192749
0.014841781013721647,0.40408805031446543,0.8181034
0.014841781013721647,0.404874213836478,0.81732744
0.015261831419770373,0.404874213836478,0.8156898
0.015261831419770373,0.4056603773584906,0.8154759
0.01582189862783534,0.4056603773584906,0.8134384
0.01582189862783534,0.4080188679245283,0.8112816
0.01638196583590031,0.4080188679245283,0.80699956
0.01638196583590031,0.40959119496855345,0.80659604
0.016661999439932792,0.40959119496855345,0.80632526
0.016661999439932792,0.41037735849056606,0.80627835
0.01708204984598152,0.41037735849056606,0.80450106
0.01708204984598152,0.4111635220125786,0.8044265
0.017502100252030243,0.4111635220125786,0.80231935
0.017502100252030243,0.41352201257861637,0.80046046
0.017642117054046485,0.41352201257861637,0.8001122
0.017642117054046485,0.4143081761006289,0.7996623
0.018062167460095212,0.4143081761006289,0.7986221
0.018062167460095212,0.4158805031446541,0.79782915
0.018202184262111454,0.4158805031446541,0.79592466
0.018202184262111454,0.4166666666666667,0.79591095
0.018762251470176423,0.4166666666666667,0.79461986
0.018762251470176423,0.41823899371069184,0.79424053
0.018902268272192664,0.41823899371069184,0.793244
0.018902268272192664,0.42059748427672955,0.79256135
