recall,precision
0.9976415094339622,0.1567634342186535
0.9976415094339622,0.15678280207561157
0.9976415094339622,0.15680217471889288
0.9976415094339622,0.15682155215027188
0.9976415094339622,0.1568409343715239
0.9976415094339622,0.1568603213844252
0.9976415094339622,0.15687971319075286
0.9976415094339622,0.15689910979228486
0.9976415094339622,0.15691851119080005
0.9976415094339622,0.15693791738807816
0.9976415094339622,0.15695732838589982
0.9976415094339622,0.1569767441860465
0.9976415094339622,0.15699616479030062
0.9976415094339622,0.15701559020044542
0.9976415094339622,0.15703502041826506
0.9976415094339622,0.15705445544554456
0.9976415094339622,0.15707389528406981
0.9976415094339622,0.15709333993562763
0.9976415094339622,0.15711278940200568
0.9976415094339622,0.15713224368499257
0.9976415094339622,0.15715170278637772
0.9976415094339622,0.15717116670795145
0.9976415094339622,0.15719063545150502
0.9976415094339622,0.15721010901883054
0.9976415094339622,0.15722958741172097
0.9976415094339622,0.15724907063197027
0.9968553459119497,0.1571446275870616
0.9968553459119497,0.15716410510659395
0.9968553459119497,0.15718358745506383
0.9968553459119497,0.1572030746342673
0.9968553459119497,0.15722256664600123
0.9968553459119497,0.1572420634920635
0.9968553459119497,0.15726156517425277
0.9968553459119497,0.15728107169436864
0.9968553459119497,0.15730058305421163
0.9968553459119497,0.15732009925558313
0.9968553459119497,0.1573396203002854
0.9968553459119497,0.15735914619012162
0.9968553459119497,0.15737867692689586
0.9968553459119497,0.15739821251241312
0.9968553459119497,0.1574177529484792
0.9968553459119497,0.15743729823690092
0.9968553459119497,0.1574568483794859
0.9968553459119497,0.15747640337804272
0.9968553459119497,0.1574959632343808
0.9968553459119497,0.15751552795031057
0.9968553459119497,0.1575350975276432
0.9968553459119497,0.15755467196819087
0.9968553459119497,0.15757425127376662
0.9968553459119497,0.15759383544618444
0.9968553459119497,0.15761342448725918
0.9968553459119497,0.15763301839880656
0.9968553459119497,0.15765261718264328
0.9968553459119497,0.1576722208405869
0.9968553459119497,0.15769182937445592
0.9968553459119497,0.15771144278606966
0.9968553459119497,0.1577310610772484
0.9968553459119497,0.1577506842498134
0.9968553459119497,0.15777031230558666
0.9968553459119497,0.15778994524639123
0.9968553459119497,0.15780958307405102
0.9968553459119497,0.15782922579039083
0.9968553459119497,0.1578488733972364
0.9968553459119497,0.15786852589641434
0.9968553459119497,0.1578881832897522
0.9968553459119497,0.15790784557907844
0.9968553459119497,0.15792751276622244
